transaction_id,date,account_key,department_key,vendor_key,product_key,customer_key,amount,approval_status,procurement_method,approver_id,approval_date,purchase_order_number,contract_reference
21,2022-12-25,1,39,64,27,17906,174.43,Approved,Vertrag,475,2022-12-27,PO-332569,VTR-2020-7398
22,2024-11-25,2,12,129,25,7114,1738.42,Pending,Direktvergabe,,,PO-270629,VTR-2021-2372
23,2022-07-03,1,15,88,6,10331,505.14,Approved,Direktvergabe,846,2022-07-10,PO-127901,VTR-2022-5694
24,2024-06-01,3,40,85,3,14734,1650.01,Rejected,Vertrag,565,2024-06-05,PO-295783,VTR-2024-1903
25,2023-08-01,1,14,18,20,11829,3325.12,Approved,Ausschreibung,257,2023-08-04,PO-424620,VTR-2021-2490
26,2022-08-02,2,25,96,11,4423,663.87,Approved,Vertrag,333,2022-08-04,,VTR-2024-3651
27,2023-01-15,2,32,162,13,4927,974.94,Approved,Ausschreibung,373,2023-01-21,PO-188568,VTR-2022-1771
28,2024-06-14,3,15,149,11,15270,672.28,Approved,Direktvergabe,421,2024-06-21,PO-118164,
29,2023-07-16,1,14,129,16,17157,1296.47,Approved,Direktvergabe,491,2023-07-19,,
30,2022-01-15,3,23,105,8,18814,529.96,Approved,Ausschreibung,250,2022-01-22,PO-799059,VTR-2020-7828
31,2022-12-08,3,25,24,26,14708,200.32,Pending,Direktvergabe,,,PO-597265,VTR-2024-5228
32,2024-01-30,1,30,105,18,1095,1012.95,Approved,Direktvergabe,840,2024-02-01,PO-315805,
33,2022-09-16,2,33,171,3,843,999.79,Approved,Ausschreibung,398,2022-09-17,,VTR-2021-2278
34,2025-06-02,2,30,80,23,19643,1405.42,Approved,Ausschreibung,829,2025-06-05,PO-302714,VTR-2025-3010
35,2025-02-15,2,29,151,5,983,516.08,Approved,Ausschreibung,19,2025-02-19,PO-781598,VTR-2025-6385
36,2025-05-26,1,24,65,3,17322,2227.03,Approved,Ausschreibung,508,2025-05-29,PO-916984,VTR-2023-6842
37,2022-06-27,2,31,67,7,19411,641.29,Approved,Direktvergabe,650,2022-07-04,,VTR-2023-1414
38,2022-06-15,3,14,15,17,1716,666.11,Approved,Ausschreibung,993,2022-06-16,PO-345907,
39,2024-07-10,1,36,198,5,11220,216.12,Approved,Vertrag,153,2024-07-15,PO-997435,VTR-2023-8037
40,2024-07-23,1,29,178,13,15748,80.42,Approved,Ausschreibung,552,2024-07-26,PO-149883,
41,2024-02-14,1,35,127,7,17112,2040.23,Approved,Vertrag,219,2024-02-17,PO-755578,VTR-2022-6544
42,2024-06-13,1,16,123,19,15262,2508.85,Approved,Vertrag,79,2024-06-14,PO-921451,
43,2023-01-07,2,31,16,7,16372,1000.06,Approved,Vertrag,89,2023-01-08,,VTR-2022-9543
44,2023-12-06,3,10,117,14,5648,693.5,Approved,Direktvergabe,666,2023-12-07,PO-381157,VTR-2022-3034
45,2022-09-27,1,34,183,5,4520,1239.92,Approved,Ausschreibung,248,2022-10-03,,
46,2024-01-22,1,27,42,8,14777,1014.47,Approved,Direktvergabe,593,2024-01-23,PO-445846,VTR-2022-1371
47,2023-02-11,3,29,182,21,13531,1563.63,Approved,Direktvergabe,678,2023-02-14,PO-134640,VTR-2024-9159
48,2022-07-06,2,22,24,6,10277,1963.67,Approved,Ausschreibung,887,2022-07-12,PO-519562,
49,2025-04-06,1,34,187,5,19909,4024.13,Approved,Direktvergabe,907,2025-04-11,PO-290392,VTR-2025-3546
50,2023-12-30,1,24,85,9,7413,192.32,Approved,Direktvergabe,205,2024-01-05,PO-670141,VTR-2020-7823
51,2024-07-29,2,20,152,8,4812,270.25,Approved,Vertrag,980,2024-07-31,PO-995506,VTR-2025-4769
52,2024-01-21,1,36,140,22,18967,4454.72,Approved,Vertrag,82,2024-01-27,PO-726659,VTR-2025-9066
53,2025-06-29,2,36,159,11,5983,1412.57,Approved,Vertrag,215,2025-07-03,PO-668717,
54,2022-09-03,3,12,91,23,4832,1399.71,Approved,Vertrag,692,2022-09-06,PO-830276,VTR-2020-9736
55,2024-11-11,3,19,96,27,914,290.88,Approved,Direktvergabe,776,2024-11-14,PO-950582,VTR-2022-8748
56,2022-12-16,1,39,139,25,16911,2559.75,Rejected,Ausschreibung,772,2022-12-21,,
57,2022-02-28,2,30,104,26,7523,1000.0,Approved,Vertrag,270,2022-03-05,PO-613467,VTR-2020-5655
58,2025-01-26,1,27,58,25,6929,1271.6,Pending,Vertrag,,,PO-988758,
59,2022-12-09,1,14,21,21,15702,4669.05,Approved,Vertrag,350,2022-12-11,,
60,2025-02-09,2,15,12,6,18217,536.38,Approved,Ausschreibung,202,2025-02-16,PO-834835,VTR-2021-8330
61,2024-11-22,2,14,66,10,17389,610.96,Approved,Ausschreibung,501,2024-11-27,,VTR-2024-1316
62,2023-11-28,3,24,156,11,14309,215.74,Approved,Direktvergabe,449,2023-12-03,PO-494064,
63,2022-07-30,1,36,135,24,3975,1387.98,Approved,Direktvergabe,744,2022-08-06,PO-854901,
64,2022-03-11,2,38,28,5,8545,1079.62,Approved,Direktvergabe,893,2022-03-17,PO-142285,VTR-2020-3931
65,2023-12-18,1,23,46,5,15335,4223.66,Approved,Ausschreibung,184,2023-12-22,PO-433126,VTR-2025-6629
66,2024-01-11,3,36,106,9,18687,1481.23,Approved,Direktvergabe,329,2024-01-15,PO-917276,
67,2025-05-19,2,22,101,7,15799,1563.32,Approved,Vertrag,324,2025-05-20,PO-606707,VTR-2022-1035
68,2024-12-12,1,15,139,13,15330,2985.18,Approved,Ausschreibung,730,2024-12-17,,
69,2022-04-21,1,17,85,18,10479,3001.86,Approved,Direktvergabe,774,2022-04-25,PO-992670,VTR-2024-7495
70,2023-11-15,2,37,167,12,4145,22.05,Approved,Ausschreibung,145,2023-11-22,PO-843648,
71,2022-05-30,1,16,94,3,7013,294.14,Approved,Direktvergabe,226,2022-06-05,,
72,2023-06-21,1,35,186,9,15682,3282.05,Approved,Vertrag,2,2023-06-27,PO-120658,VTR-2023-9153
73,2022-06-06,2,14,135,18,5417,1590.16,Approved,Ausschreibung,469,2022-06-12,PO-635739,VTR-2020-2275
74,2022-11-08,2,30,164,10,14,1307.79,Pending,Ausschreibung,,,,VTR-2021-1358
75,2024-07-07,2,19,75,9,186,858.86,Approved,Direktvergabe,314,2024-07-08,PO-768646,VTR-2020-3722
76,2022-09-26,2,32,131,24,18414,1513.12,Approved,Direktvergabe,441,2022-09-28,,VTR-2024-6779
77,2023-12-21,2,16,115,19,3591,1292.02,Approved,Direktvergabe,147,2023-12-22,,VTR-2023-1819
78,2023-01-02,3,34,88,3,17602,987.36,Approved,Direktvergabe,746,2023-01-05,PO-162023,VTR-2020-1705
79,2023-08-11,1,16,21,23,8749,1717.25,Approved,Ausschreibung,77,2023-08-15,PO-202894,
80,2024-12-09,3,11,107,27,5167,1008.67,Approved,Direktvergabe,180,2024-12-13,,VTR-2021-6538
81,2022-08-08,2,32,41,4,10424,408.39,Approved,Vertrag,76,2022-08-14,PO-663737,
82,2022-10-01,2,24,156,14,19343,1398.64,Approved,Ausschreibung,554,2022-10-02,PO-636388,VTR-2023-3730
83,2023-03-22,2,31,46,6,3913,1431.21,Approved,Vertrag,939,2023-03-28,PO-644065,VTR-2021-5759
84,2025-05-29,2,21,172,8,16622,589.11,Approved,Vertrag,884,2025-05-30,PO-870551,VTR-2022-7721
85,2025-02-16,1,30,138,20,10494,3761.7,Approved,Ausschreibung,255,2025-02-18,PO-566235,VTR-2021-6384
86,2024-04-10,1,33,177,24,488,4692.43,Approved,Direktvergabe,289,2024-04-12,PO-892389,
87,2022-12-27,1,28,85,15,7302,1121.82,Approved,Direktvergabe,813,2022-12-28,PO-901993,VTR-2023-3530
88,2024-05-22,2,35,54,6,15221,1643.72,Approved,Ausschreibung,933,2024-05-25,PO-860122,VTR-2022-2642
89,2022-10-03,2,26,190,22,5023,1811.77,Approved,Vertrag,362,2022-10-09,PO-837597,VTR-2020-4279
90,2023-10-18,1,22,53,26,22,4252.01,Approved,Vertrag,972,2023-10-19,PO-122387,
91,2022-02-28,1,15,82,11,8983,2583.31,Approved,Vertrag,474,2022-03-04,PO-964069,
92,2022-05-24,3,37,68,21,5477,615.36,Approved,Direktvergabe,590,2022-05-25,PO-894356,VTR-2025-2418
93,2023-10-15,2,19,15,23,2092,757.76,Approved,Vertrag,936,2023-10-20,,VTR-2024-1716
94,2022-08-30,1,22,156,27,122,749.8,Approved,Direktvergabe,400,2022-08-31,PO-179946,VTR-2025-8445
95,2024-08-12,2,19,93,1,16753,309.24,Approved,Vertrag,881,2024-08-19,PO-773459,
96,2023-03-04,1,32,107,25,15527,2770.79,Approved,Direktvergabe,35,2023-03-09,PO-365363,VTR-2022-6268
97,2024-09-02,1,30,139,1,912,3530.78,Pending,Direktvergabe,,,,
98,2024-04-16,2,17,62,13,12713,1348.93,Approved,Direktvergabe,54,2024-04-23,,
99,2025-01-23,3,21,88,23,16605,80.79,Approved,Ausschreibung,101,2025-01-25,,VTR-2021-4558
100,2022-05-25,1,32,121,7,14845,551.41,Approved,Ausschreibung,800,2022-05-28,PO-701549,
101,2024-09-13,1,19,64,23,7396,936.55,Approved,Direktvergabe,601,2024-09-17,PO-340285,
102,2023-01-04,2,30,37,17,12718,1787.03,Approved,Vertrag,558,2023-01-08,,
103,2022-07-12,2,30,170,6,16790,1799.09,Approved,Vertrag,692,2022-07-13,PO-207665,VTR-2023-6838
104,2024-05-29,1,36,111,4,8240,3648.18,Rejected,Vertrag,81,2024-06-04,,VTR-2021-8953
105,2024-08-07,2,31,171,4,5873,127.45,Approved,Vertrag,436,2024-08-11,PO-178814,VTR-2021-8909
106,2023-05-01,2,17,160,11,5439,635.4,Pending,Direktvergabe,,,PO-350438,
107,2023-01-01,2,12,76,18,2478,1643.54,Pending,Direktvergabe,,,PO-182241,VTR-2021-6079
108,2024-06-23,1,25,5,11,16590,2210.28,Pending,Ausschreibung,,,PO-162483,
109,2022-04-05,2,12,96,8,42,418.96,Approved,Direktvergabe,929,2022-04-11,,
110,2022-01-02,2,28,8,25,7731,1213.23,Approved,Direktvergabe,879,2022-01-03,,
111,2022-12-31,2,10,78,8,16589,393.31,Approved,Ausschreibung,360,2023-01-02,,VTR-2025-8644
112,2025-04-13,1,18,50,24,10441,1962.9,Approved,Vertrag,750,2025-04-19,PO-739051,VTR-2021-4089
113,2022-11-28,1,10,187,17,131,4339.28,Approved,Ausschreibung,800,2022-12-01,PO-895074,
114,2023-06-22,1,14,173,21,15717,1342.05,Approved,Direktvergabe,282,2023-06-24,PO-321167,VTR-2022-3782
115,2025-01-17,2,12,48,24,294,1221.06,Approved,Ausschreibung,911,2025-01-20,PO-168844,
116,2025-06-12,1,26,141,19,14169,2593.76,Approved,Ausschreibung,44,2025-06-14,PO-850427,VTR-2020-1977
117,2022-10-23,3,17,124,15,6660,1652.15,Approved,Direktvergabe,210,2022-10-30,PO-578634,VTR-2025-9600
118,2023-11-17,2,37,187,26,18721,274.89,Approved,Ausschreibung,149,2023-11-20,PO-501797,VTR-2020-1536
119,2022-08-05,1,39,120,9,13497,4291.34,Pending,Direktvergabe,,,PO-319170,
120,2023-11-21,3,28,162,13,3,1246.73,Pending,Vertrag,,,PO-891688,VTR-2022-1630
121,2023-07-20,2,27,185,10,9207,1419.63,Approved,Ausschreibung,419,2023-07-25,PO-102809,VTR-2025-8374
122,2023-03-07,1,31,108,8,6520,171.48,Approved,Ausschreibung,853,2023-03-09,PO-170381,VTR-2021-8784
123,2025-01-20,2,27,156,5,7605,1648.67,Rejected,Ausschreibung,324,2025-01-23,,VTR-2021-3655
124,2023-02-18,3,14,168,7,14668,1226.01,Approved,Vertrag,948,2023-02-23,,
125,2023-02-11,2,36,53,10,18497,1174.43,Approved,Direktvergabe,174,2023-02-13,PO-452027,VTR-2022-3337
126,2022-01-24,2,28,101,5,1803,1543.43,Pending,Ausschreibung,,,,VTR-2021-2013
127,2025-01-25,3,40,103,26,550,207.39,Approved,Direktvergabe,965,2025-01-30,PO-305916,VTR-2025-8334
128,2024-03-07,1,17,185,5,2930,1743.84,Rejected,Ausschreibung,544,2024-03-11,PO-524211,
129,2024-06-22,2,31,49,7,7857,994.26,Approved,Vertrag,35,2024-06-24,PO-382733,
130,2024-06-15,3,20,195,26,13259,33.79,Approved,Ausschreibung,733,2024-06-21,,
131,2022-01-19,2,16,1,12,14267,1147.02,Rejected,Vertrag,351,2022-01-21,PO-336205,
132,2022-07-09,2,31,69,13,7646,190.91,Pending,Direktvergabe,,,PO-906820,
133,2025-03-24,1,16,177,8,10349,2901.72,Pending,Direktvergabe,,,PO-120942,
134,2025-03-08,1,25,9,19,9655,3265.71,Approved,Vertrag,617,2025-03-11,PO-779740,
135,2024-07-10,1,30,90,18,5716,1082.91,Pending,Ausschreibung,,,PO-658438,VTR-2022-4083
136,2025-03-27,1,27,75,17,19100,4555.72,Approved,Direktvergabe,178,2025-04-01,PO-559284,VTR-2021-9384
137,2025-04-04,2,14,153,24,17115,1837.54,Approved,Vertrag,505,2025-04-09,,
138,2025-06-16,1,36,133,22,7340,2973.07,Approved,Ausschreibung,526,2025-06-22,PO-651320,VTR-2022-2067
139,2022-01-23,2,11,135,18,14768,107.75,Approved,Vertrag,930,2022-01-29,PO-683052,VTR-2021-6823
140,2023-07-30,1,33,69,4,9677,805.49,Approved,Vertrag,862,2023-08-04,,VTR-2020-1635
141,2024-08-21,1,13,183,23,2357,2584.53,Approved,Ausschreibung,108,2024-08-23,PO-603138,
142,2023-10-13,2,37,128,5,14300,1347.14,Approved,Direktvergabe,165,2023-10-17,PO-119400,VTR-2020-9801
143,2023-03-09,1,35,52,19,3913,3289.78,Approved,Vertrag,447,2023-03-14,,
144,2022-06-27,2,35,156,27,18317,1904.82,Approved,Direktvergabe,466,2022-07-03,PO-232795,VTR-2024-1125
145,2024-01-31,1,11,112,26,6614,3305.4,Pending,Ausschreibung,,,PO-832515,
146,2025-04-04,3,27,119,14,19888,144.15,Approved,Vertrag,856,2025-04-06,PO-145089,
147,2022-02-19,3,17,124,26,2944,1348.4,Approved,Direktvergabe,816,2022-02-21,PO-203005,
148,2024-01-23,2,26,164,16,8424,1488.71,Approved,Ausschreibung,38,2024-01-30,PO-982563,VTR-2023-1286
149,2022-11-22,3,36,5,5,10901,465.95,Pending,Ausschreibung,,,PO-713363,
150,2024-01-17,2,22,87,20,11209,1281.77,Approved,Direktvergabe,92,2024-01-21,,
151,2024-01-19,2,32,151,25,19688,738.04,Approved,Vertrag,12,2024-01-21,PO-209993,VTR-2022-8783
152,2023-11-19,2,19,138,20,5976,1728.23,Approved,Direktvergabe,368,2023-11-22,PO-234369,
153,2024-12-12,2,10,66,18,679,951.99,Pending,Vertrag,,,,VTR-2020-6861
154,2022-08-08,1,26,132,2,15229,2128.88,Approved,Direktvergabe,594,2022-08-15,PO-176685,VTR-2025-1935
155,2023-08-14,2,16,109,25,1850,1949.3,Approved,Ausschreibung,78,2023-08-18,,
156,2022-12-16,1,32,171,24,687,2043.75,Approved,Direktvergabe,774,2022-12-21,PO-408301,VTR-2022-6535
157,2025-03-17,3,31,109,26,18813,1044.15,Approved,Vertrag,433,2025-03-18,PO-970799,
158,2023-04-14,1,29,193,4,14883,77.12,Approved,Ausschreibung,550,2023-04-18,PO-553128,
159,2024-10-20,2,15,106,10,747,1801.32,Approved,Direktvergabe,609,2024-10-25,PO-382370,
160,2023-05-13,1,17,171,15,768,3608.25,Approved,Direktvergabe,768,2023-05-18,,
161,2024-06-30,1,35,90,26,17670,2193.61,Approved,Vertrag,518,2024-07-01,,VTR-2020-9867
162,2024-11-01,3,29,8,12,4067,886.84,Pending,Ausschreibung,,,PO-671445,
163,2025-04-01,2,27,25,24,13655,977.89,Approved,Ausschreibung,699,2025-04-08,PO-884840,
164,2022-01-18,1,14,170,26,4277,4510.27,Approved,Ausschreibung,195,2022-01-20,,VTR-2022-1207
165,2025-03-01,1,12,114,2,15181,207.87,Approved,Direktvergabe,4,2025-03-04,,VTR-2020-4648
166,2023-11-24,2,11,31,12,7626,351.09,Approved,Vertrag,130,2023-11-26,,VTR-2025-3823
167,2024-05-16,2,26,16,1,4365,658.86,Approved,Direktvergabe,351,2024-05-21,,
168,2023-11-02,1,38,155,4,13994,3501.44,Approved,Ausschreibung,527,2023-11-04,PO-460866,VTR-2024-2139
169,2022-11-15,2,19,141,26,2161,825.04,Approved,Direktvergabe,24,2022-11-22,,VTR-2020-1369
170,2022-06-04,1,37,158,3,989,1051.15,Pending,Vertrag,,,PO-156131,
171,2023-03-07,2,13,70,22,1418,140.76,Approved,Direktvergabe,758,2023-03-10,,
172,2024-03-31,1,36,162,2,18014,4205.19,Approved,Direktvergabe,635,2024-04-07,PO-260832,
173,2023-05-13,2,16,130,19,16992,46.37,Pending,Vertrag,,,,
174,2024-08-24,1,21,84,21,9456,4217.56,Approved,Vertrag,104,2024-08-25,PO-930592,VTR-2023-1493
175,2023-09-26,1,29,58,5,7065,2734.05,Approved,Ausschreibung,525,2023-10-01,PO-252484,
176,2025-01-16,2,28,34,3,1987,308.85,Approved,Ausschreibung,90,2025-01-17,PO-325172,
177,2023-10-10,3,36,122,16,3818,783.09,Approved,Ausschreibung,682,2023-10-14,,VTR-2020-2361
178,2024-01-31,1,26,68,2,2076,210.14,Approved,Direktvergabe,126,2024-02-01,,
179,2024-07-22,2,16,116,12,3258,510.89,Pending,Ausschreibung,,,PO-536092,VTR-2024-5176
180,2023-10-24,1,35,188,11,13287,1121.29,Approved,Direktvergabe,678,2023-10-30,PO-924794,VTR-2020-9650
181,2024-08-01,3,23,127,16,1809,45.12,Approved,Ausschreibung,256,2024-08-05,PO-837970,VTR-2025-7180
182,2022-09-27,2,21,119,13,496,1653.81,Approved,Vertrag,673,2022-10-03,PO-764855,
183,2022-06-21,1,12,82,12,1441,3400.37,Approved,Vertrag,673,2022-06-28,PO-490029,
184,2024-12-05,2,12,154,20,8969,804.52,Approved,Vertrag,284,2024-12-12,PO-682108,VTR-2021-9139
185,2023-12-15,3,11,122,21,3484,1136.01,Approved,Vertrag,439,2023-12-16,PO-250690,
186,2022-05-21,1,10,161,4,6029,2757.04,Pending,Ausschreibung,,,PO-520828,
187,2022-07-28,1,39,47,3,762,2135.7,Approved,Ausschreibung,660,2022-08-03,PO-392476,
188,2023-01-16,2,21,2,11,6508,681.95,Approved,Ausschreibung,883,2023-01-17,PO-947914,VTR-2023-4828
189,2025-04-02,1,32,6,8,9592,169.57,Approved,Ausschreibung,850,2025-04-09,PO-161874,VTR-2022-8046
190,2024-09-22,3,17,21,12,1056,1195.18,Approved,Ausschreibung,878,2024-09-26,,VTR-2024-1866
191,2023-03-07,2,26,141,23,18445,1534.78,Approved,Direktvergabe,468,2023-03-10,,
192,2023-03-11,2,35,152,14,2517,698.58,Rejected,Ausschreibung,146,2023-03-12,PO-188304,VTR-2020-8299
193,2024-11-18,1,29,84,18,19632,2272.79,Approved,Direktvergabe,957,2024-11-24,PO-576317,VTR-2022-8493
194,2022-05-31,1,20,41,17,10856,2164.03,Approved,Ausschreibung,801,2022-06-02,,VTR-2021-9635
195,2023-07-11,1,16,139,15,11664,2626.97,Approved,Vertrag,345,2023-07-17,,VTR-2020-4032
196,2024-10-03,2,11,178,15,3396,605.89,Approved,Ausschreibung,659,2024-10-08,,VTR-2024-3133
197,2023-03-18,1,11,136,10,18891,2749.24,Approved,Direktvergabe,401,2023-03-24,,VTR-2021-6518
198,2024-06-10,2,27,140,12,13979,212.98,Pending,Ausschreibung,,,PO-917008,VTR-2020-5745
199,2022-09-23,2,16,23,13,15683,1738.36,Approved,Direktvergabe,161,2022-09-29,PO-911146,VTR-2022-4577
200,2024-07-08,1,31,136,4,7550,2705.7,Approved,Vertrag,779,2024-07-11,,VTR-2024-7706
201,2025-04-25,2,16,193,1,4342,1472.06,Approved,Direktvergabe,282,2025-04-26,PO-142620,
202,2022-01-24,3,34,45,2,17250,1622.07,Approved,Ausschreibung,672,2022-01-25,PO-798214,VTR-2021-2632
203,2023-02-13,1,34,153,9,14041,2322.74,Approved,Direktvergabe,902,2023-02-20,,VTR-2024-1568
204,2024-05-07,1,37,102,10,1008,231.42,Approved,Ausschreibung,266,2024-05-12,PO-270983,VTR-2024-5389
205,2024-05-09,2,19,96,27,8387,1126.57,Approved,Direktvergabe,326,2024-05-15,PO-921809,VTR-2021-1815
206,2023-04-21,2,30,198,6,7962,1003.31,Approved,Vertrag,202,2023-04-26,,VTR-2020-9357
207,2024-09-04,2,18,67,16,8912,1867.11,Approved,Ausschreibung,478,2024-09-11,,
208,2023-10-10,2,35,137,24,4545,1739.95,Approved,Direktvergabe,500,2023-10-11,PO-267274,
209,2024-07-09,1,16,35,8,1126,700.0,Pending,Direktvergabe,,,PO-314833,
210,2024-09-25,1,14,77,22,1076,3863.21,Approved,Direktvergabe,231,2024-09-26,PO-947706,VTR-2020-2374
211,2023-09-17,1,17,143,10,5723,2382.09,Approved,Vertrag,388,2023-09-21,PO-124517,VTR-2024-7772
212,2025-06-05,1,28,81,22,6899,2190.69,Approved,Ausschreibung,209,2025-06-11,PO-779554,
213,2023-08-13,1,30,121,14,6490,809.55,Approved,Ausschreibung,221,2023-08-18,PO-312132,
214,2022-11-28,1,12,110,27,4360,4405.12,Approved,Vertrag,794,2022-12-03,PO-975217,
215,2022-03-08,3,28,155,7,16587,1743.31,Pending,Direktvergabe,,,PO-882968,
216,2023-01-12,1,20,139,23,17514,1898.68,Approved,Direktvergabe,385,2023-01-16,PO-654747,
217,2023-10-16,2,14,61,14,9448,562.2,Rejected,Ausschreibung,632,2023-10-18,PO-237822,VTR-2020-4615
218,2023-01-27,2,29,64,25,8907,1498.87,Approved,Ausschreibung,102,2023-02-02,PO-706061,
219,2023-02-08,2,14,130,23,2676,1408.59,Approved,Direktvergabe,989,2023-02-13,PO-458090,
220,2022-04-04,1,33,20,24,15923,3863.0,Approved,Direktvergabe,285,2022-04-07,,VTR-2024-2590
221,2022-03-25,1,21,54,22,12666,3560.57,Approved,Direktvergabe,120,2022-03-26,PO-133119,VTR-2023-4137
222,2025-06-05,3,34,20,24,11561,184.12,Approved,Direktvergabe,66,2025-06-12,PO-904396,VTR-2020-9635
223,2024-09-13,2,39,24,22,1566,441.47,Approved,Direktvergabe,32,2024-09-14,PO-873692,
224,2024-09-11,1,34,175,11,17604,443.32,Approved,Direktvergabe,176,2024-09-12,,
225,2022-02-08,2,26,34,14,11395,1944.86,Approved,Ausschreibung,19,2022-02-14,PO-830263,VTR-2021-8379
226,2022-08-22,2,10,132,26,8213,1375.64,Pending,Direktvergabe,,,PO-220374,VTR-2021-4476
227,2024-03-26,3,24,41,24,4258,1379.28,Approved,Vertrag,442,2024-03-28,PO-582062,VTR-2024-5831
228,2025-05-24,2,40,108,26,11819,220.75,Approved,Vertrag,945,2025-05-30,,
229,2022-04-28,3,28,53,25,5452,669.6,Approved,Direktvergabe,962,2022-05-02,PO-345728,VTR-2023-6110
230,2024-11-04,1,39,182,27,3524,2538.66,Approved,Direktvergabe,661,2024-11-08,,
231,2025-04-25,1,15,68,18,9022,581.83,Approved,Ausschreibung,202,2025-04-26,PO-488712,VTR-2021-9488
232,2025-02-07,3,20,11,20,2058,1794.6,Approved,Ausschreibung,811,2025-02-12,PO-817828,VTR-2022-8421
233,2022-02-14,2,35,13,20,10691,443.83,Approved,Vertrag,501,2022-02-21,,VTR-2020-5807
234,2023-03-08,2,18,34,21,8030,463.39,Approved,Ausschreibung,648,2023-03-15,PO-721341,VTR-2020-8584
235,2023-01-09,1,15,53,23,9753,875.95,Approved,Direktvergabe,640,2023-01-12,,
236,2022-06-28,2,26,92,22,18973,1656.33,Approved,Direktvergabe,263,2022-06-30,PO-548285,
237,2023-06-17,1,18,79,1,1787,478.54,Approved,Vertrag,170,2023-06-19,PO-759408,
238,2024-09-01,1,37,68,27,15795,4527.66,Pending,Ausschreibung,,,PO-678688,VTR-2025-6580
239,2023-11-17,2,29,46,7,5432,896.5,Approved,Ausschreibung,725,2023-11-24,PO-520374,VTR-2022-9886
240,2023-03-24,1,15,117,21,10317,389.62,Approved,Ausschreibung,739,2023-03-31,PO-910354,VTR-2023-2899
241,2023-07-23,2,19,159,25,7166,1395.86,Approved,Ausschreibung,480,2023-07-28,PO-354480,VTR-2025-2678
242,2022-12-31,2,19,132,14,2888,1196.2,Approved,Direktvergabe,287,2023-01-07,,
243,2022-10-07,1,30,156,15,8056,167.94,Approved,Vertrag,465,2022-10-10,PO-335154,
244,2025-03-18,2,33,166,9,3543,840.7,Pending,Direktvergabe,,,PO-817651,VTR-2024-1839
245,2024-04-29,1,35,50,24,14827,4325.41,Pending,Vertrag,,,,VTR-2022-3026
246,2023-10-09,1,25,158,11,1494,483.62,Approved,Vertrag,768,2023-10-13,,
247,2024-07-28,1,19,38,24,19820,384.19,Rejected,Vertrag,297,2024-08-02,,
248,2025-04-23,3,31,102,23,17457,1143.1,Approved,Ausschreibung,567,2025-04-30,PO-629575,VTR-2025-7752
249,2023-11-06,3,11,139,22,10768,1179.78,Approved,Vertrag,921,2023-11-07,PO-990370,VTR-2023-3603
250,2022-11-23,1,30,123,26,110,199.45,Approved,Ausschreibung,804,2022-11-24,PO-141515,VTR-2021-7035
251,2023-09-14,3,22,146,17,12663,1446.21,Approved,Vertrag,183,2023-09-15,PO-542304,VTR-2021-5110
