opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000055,,ACC000936,Opportunity 55,Verhandlung,34017.82,60.5,2021-10-23,2021-06-23,Empfehlung,Bestandskunde - Upgrade,1793
OPP00000056,56,ACC000383,Opportunity 56,Closed Won,45332.82,100.0,2021-10-19,2021-08-06,Messe,Bestandskunde - Upgrade,
OPP00000057,,ACC000804,Opportunity 57,Angebot,8246.37,41.5,2021-02-22,2021-01-17,Telefonakquise,Bestandskunde - Zusatzprodukt,
OPP00000058,,ACC000075,Opportunity 58,Closed Lost,18147.91,0.0,2025-02-14,2024-10-10,Webseite,Bestandskunde - Zusatzprodukt,6853
OPP00000059,,ACC000199,Opportunity 59,Interessent,4571.83,50.2,2024-02-26,2023-12-14,Messe,Bestandskunde - Upgrade,3763
OPP00000060,,ACC000900,Opportunity 60,Angebot,21376.45,32.3,2023-06-08,2022-12-12,Webseite,Bestandskunde - Upgrade,1171
OPP00000061,,ACC000537,Opportunity 61,Verhandlung,6236.91,76.4,2024-05-09,2024-03-25,Webseite,Bestandskunde - Upgrade,3852
OPP00000062,,ACC000976,Opportunity 62,Angebot,23307.68,42.5,2024-04-03,2023-11-10,Social Media,Neukunde,1554
OPP00000063,,ACC000487,Opportunity 63,Angebot,25620.4,27.3,2024-04-09,2024-01-01,Telefonakquise,Neukunde,3957
OPP00000064,,ACC000862,Opportunity 64,Interessent,11744.68,27.7,2022-02-06,2021-12-16,Telefonakquise,Bestandskunde - Upgrade,3098
OPP00000065,,ACC000891,Opportunity 65,Angebot,38682.25,62.5,2021-11-15,2021-09-08,Webseite,Bestandskunde - Upgrade,
OPP00000066,66,ACC000287,Opportunity 66,Closed Won,32731.22,100.0,2023-09-07,2023-08-02,Social Media,Neukunde,
OPP00000067,,ACC000571,Opportunity 67,Closed Lost,43679.94,0.0,2021-08-16,2021-07-10,Social Media,Bestandskunde - Upgrade,7198
OPP00000068,,ACC000375,Opportunity 68,Closed Lost,23940.82,0.0,2024-05-03,2024-02-17,Telefonakquise,Neukunde,329
OPP00000069,69,ACC000886,Opportunity 69,Closed Won,20193.2,100.0,2025-04-28,2024-12-29,Webseite,Bestandskunde - Zusatzprodukt,
OPP00000070,,ACC000542,Opportunity 70,Verhandlung,31072.85,26.0,2022-08-05,2022-06-30,Telefonakquise,Bestandskunde - Zusatzprodukt,5213
OPP00000071,,ACC000586,Opportunity 71,Verhandlung,39815.29,34.3,2024-02-19,2023-11-05,Webseite,Bestandskunde - Upgrade,
OPP00000072,,ACC000286,Opportunity 72,Interessent,48408.01,51.6,2021-10-10,2021-06-14,Empfehlung,Neukunde,7068
OPP00000073,,ACC000024,Opportunity 73,Qualifizierung,40951.09,77.1,2022-04-02,2022-01-29,Partner,Bestandskunde - Zusatzprodukt,3617
OPP00000074,,ACC000336,Opportunity 74,Angebot,10074.1,71.8,2022-08-18,2022-02-25,Telefonakquise,Bestandskunde - Upgrade,6266
OPP00000075,,ACC000971,Opportunity 75,Angebot,46090.47,37.0,2024-01-19,2023-09-22,Empfehlung,Bestandskunde - Upgrade,4804
OPP00000076,,ACC000795,Opportunity 76,Interessent,43279.15,61.8,2023-10-24,2023-06-09,Webseite,Neukunde,6244
OPP00000077,77,ACC000641,Opportunity 77,Closed Won,16312.09,100.0,2024-03-17,2024-02-05,Partner,Neukunde,
OPP00000078,78,ACC000476,Opportunity 78,Closed Won,45567.16,100.0,2025-07-30,2025-06-03,Social Media,Bestandskunde - Zusatzprodukt,
OPP00000079,,ACC000864,Opportunity 79,Interessent,9899.49,68.2,2025-01-02,2024-09-08,Telefonakquise,Neukunde,5327
OPP00000080,,ACC000788,Opportunity 80,Closed Lost,1324.16,0.0,2022-08-26,2022-06-20,Webseite,Neukunde,
OPP00000081,81,ACC000303,Opportunity 81,Closed Won,17459.16,100.0,2023-11-13,2023-08-27,Messe,Bestandskunde - Zusatzprodukt,
OPP00000082,82,ACC000296,Opportunity 82,Closed Won,31672.28,100.0,2024-12-23,2024-09-07,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000083,,ACC000327,Opportunity 83,Angebot,9627.16,36.4,2021-09-04,2021-05-16,Webseite,Neukunde,
OPP00000084,,ACC000877,Opportunity 84,Qualifizierung,11135.17,28.6,2024-12-02,2024-09-16,Webseite,Bestandskunde - Upgrade,5164
OPP00000085,85,ACC000629,Opportunity 85,Closed Won,44016.76,100.0,2022-07-12,2022-04-14,Social Media,Bestandskunde - Zusatzprodukt,
OPP00000086,86,ACC000988,Opportunity 86,Closed Won,30657.81,100.0,2025-08-30,2025-03-24,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000087,,ACC000148,Opportunity 87,Verhandlung,17869.26,27.7,2025-04-18,2025-03-07,Telefonakquise,Bestandskunde - Zusatzprodukt,1874
OPP00000088,88,ACC000307,Opportunity 88,Closed Won,16963.46,100.0,2022-03-30,2022-02-26,Partner,Bestandskunde - Zusatzprodukt,7637
OPP00000089,,ACC000716,Opportunity 89,Angebot,32838.21,50.0,2022-05-14,2022-03-22,Empfehlung,Bestandskunde - Upgrade,5673
OPP00000090,,ACC000074,Opportunity 90,Closed Lost,36731.72,0.0,2025-04-09,2025-02-04,Empfehlung,Bestandskunde - Zusatzprodukt,4586
OPP00000091,,ACC000603,Opportunity 91,Verhandlung,27020.11,30.7,2023-11-10,2023-08-17,Social Media,Bestandskunde - Upgrade,4166
OPP00000092,92,ACC000243,Opportunity 92,Closed Won,31865.67,100.0,2024-06-15,2024-04-21,Webseite,Bestandskunde - Zusatzprodukt,594
OPP00000093,,ACC000671,Opportunity 93,Closed Lost,11223.97,0.0,2023-06-04,2022-12-22,Messe,Neukunde,5124
OPP00000094,,ACC000837,Opportunity 94,Closed Lost,37178.89,0.0,2022-11-24,2022-08-01,Partner,Bestandskunde - Upgrade,
OPP00000095,,ACC000351,Opportunity 95,Angebot,6049.57,61.5,2023-04-25,2023-02-05,Social Media,Neukunde,
OPP00000096,,ACC000974,Opportunity 96,Verhandlung,5420.81,28.8,2021-12-07,2021-08-29,Telefonakquise,Neukunde,3722
OPP00000097,,ACC000619,Opportunity 97,Closed Lost,46738.49,0.0,2025-03-21,2025-01-15,Partner,Bestandskunde - Zusatzprodukt,4950
OPP00000098,,ACC000648,Opportunity 98,Interessent,12970.38,26.6,2021-08-11,2021-04-01,Empfehlung,Bestandskunde - Upgrade,
OPP00000099,,ACC000263,Opportunity 99,Qualifizierung,47968.97,15.4,2023-08-18,2023-03-15,Empfehlung,Bestandskunde - Upgrade,
OPP00000100,,ACC000043,Opportunity 100,Angebot,14411.56,19.3,2024-08-22,2024-07-15,Telefonakquise,Neukunde,
OPP00000101,,ACC000122,Opportunity 101,Angebot,44823.37,27.9,2022-09-29,2022-05-19,Partner,Bestandskunde - Zusatzprodukt,398
OPP00000102,,ACC000859,Opportunity 102,Closed Lost,46038.84,0.0,2021-08-29,2021-07-26,Partner,Bestandskunde - Zusatzprodukt,3018
OPP00000103,103,ACC000610,Opportunity 103,Closed Won,22114.09,100.0,2021-10-23,2021-06-26,Partner,Bestandskunde - Upgrade,287
OPP00000104,,ACC000374,Opportunity 104,Interessent,15212.79,67.8,2024-11-24,2024-10-04,Messe,Neukunde,
OPP00000105,105,ACC000149,Opportunity 105,Closed Won,10408.66,100.0,2023-02-02,2022-11-07,Partner,Neukunde,5196
OPP00000106,,ACC000946,Opportunity 106,Interessent,27283.67,61.6,2023-12-03,2023-07-23,Messe,Bestandskunde - Zusatzprodukt,6082
OPP00000107,,ACC000043,Opportunity 107,Angebot,21749.32,13.6,2023-12-30,2023-08-21,Webseite,Bestandskunde - Zusatzprodukt,
OPP00000108,,ACC000769,Opportunity 108,Angebot,27537.71,44.6,2025-07-07,2025-03-25,Partner,Neukunde,7094
OPP00000109,,ACC000152,Opportunity 109,Angebot,28242.83,69.2,2024-12-08,2024-08-27,Social Media,Bestandskunde - Upgrade,
OPP00000110,110,ACC000148,Opportunity 110,Closed Won,18053.16,100.0,2022-08-03,2022-06-19,Webseite,Bestandskunde - Zusatzprodukt,
OPP00000111,,ACC000010,Opportunity 111,Angebot,46355.84,37.8,2025-02-08,2024-12-03,Social Media,Bestandskunde - Zusatzprodukt,5643
OPP00000112,,ACC000678,Opportunity 112,Closed Lost,48456.36,0.0,2022-06-11,2022-05-10,Social Media,Bestandskunde - Zusatzprodukt,5118
OPP00000113,,ACC000716,Opportunity 113,Closed Lost,20960.91,0.0,2022-08-09,2022-05-16,Partner,Neukunde,
OPP00000114,,ACC000013,Opportunity 114,Qualifizierung,10343.65,11.4,2024-04-23,2024-02-13,Social Media,Bestandskunde - Zusatzprodukt,
OPP00000115,,ACC000519,Opportunity 115,Closed Lost,42016.35,0.0,2023-01-19,2022-08-19,Telefonakquise,Bestandskunde - Upgrade,4932
OPP00000116,,ACC000463,Opportunity 116,Angebot,23475.58,68.0,2022-07-26,2022-05-23,Messe,Bestandskunde - Zusatzprodukt,2297
OPP00000117,117,ACC000677,Opportunity 117,Closed Won,15936.05,100.0,2021-07-31,2021-04-22,Partner,Bestandskunde - Upgrade,
OPP00000118,,ACC000984,Opportunity 118,Angebot,7330.97,29.9,2022-10-20,2022-04-25,Messe,Bestandskunde - Zusatzprodukt,1858
OPP00000119,,ACC000301,Opportunity 119,Qualifizierung,14238.61,68.3,2022-09-16,2022-06-07,Webseite,Bestandskunde - Upgrade,7582
OPP00000120,,ACC000673,Opportunity 120,Qualifizierung,35167.93,48.9,2022-08-03,2022-06-05,Empfehlung,Bestandskunde - Zusatzprodukt,5263
OPP00000121,,ACC000332,Opportunity 121,Closed Lost,36176.81,0.0,2024-07-27,2024-02-29,Messe,Neukunde,6571
OPP00000122,,ACC000121,Opportunity 122,Interessent,13123.1,48.4,2023-09-15,2023-04-20,Messe,Bestandskunde - Upgrade,5800
OPP00000123,,ACC000650,Opportunity 123,Interessent,5504.22,75.2,2023-10-07,2023-04-19,Partner,Bestandskunde - Upgrade,5512
OPP00000124,,ACC000476,Opportunity 124,Angebot,47999.35,17.7,2024-06-17,2023-12-30,Partner,Neukunde,318
OPP00000125,,ACC000393,Opportunity 125,Qualifizierung,2539.38,54.9,2023-03-16,2022-10-09,Partner,Neukunde,3926
OPP00000126,,ACC000555,Opportunity 126,Interessent,9168.5,54.7,2022-11-09,2022-09-14,Social Media,Neukunde,
OPP00000127,127,ACC000939,Opportunity 127,Closed Won,3677.23,100.0,2025-04-06,2024-11-19,Empfehlung,Bestandskunde - Zusatzprodukt,4285
OPP00000128,128,ACC000490,Opportunity 128,Closed Won,28639.38,100.0,2025-04-10,2024-12-22,Webseite,Bestandskunde - Zusatzprodukt,3531
OPP00000129,,ACC000615,Opportunity 129,Verhandlung,28547.52,51.5,2024-01-12,2023-09-29,Empfehlung,Bestandskunde - Upgrade,6032
OPP00000130,130,ACC000922,Opportunity 130,Closed Won,34263.59,100.0,2025-03-26,2025-01-08,Telefonakquise,Neukunde,
OPP00000131,,ACC000114,Opportunity 131,Closed Lost,18439.59,0.0,2022-06-15,2022-02-15,Messe,Bestandskunde - Upgrade,332
OPP00000132,,ACC000359,Opportunity 132,Closed Lost,48742.49,0.0,2025-10-12,2025-05-30,Social Media,Bestandskunde - Zusatzprodukt,
OPP00000133,133,ACC000763,Opportunity 133,Closed Won,19064.28,100.0,2023-08-18,2023-02-20,Empfehlung,Bestandskunde - Upgrade,6920
OPP00000134,,ACC000063,Opportunity 134,Verhandlung,24065.53,31.4,2023-08-07,2023-07-05,Social Media,Neukunde,154
OPP00000135,,ACC000109,Opportunity 135,Interessent,38517.49,74.8,2021-11-20,2021-09-12,Messe,Neukunde,1409
OPP00000136,136,ACC000923,Opportunity 136,Closed Won,14014.12,100.0,2022-03-27,2022-01-25,Telefonakquise,Neukunde,2778
OPP00000137,,ACC000427,Opportunity 137,Qualifizierung,11040.93,71.7,2023-11-02,2023-09-05,Social Media,Bestandskunde - Upgrade,1199
OPP00000138,,ACC000066,Opportunity 138,Closed Lost,14024.51,0.0,2022-03-23,2022-01-03,Webseite,Bestandskunde - Upgrade,7488
OPP00000139,,ACC000766,Opportunity 139,Verhandlung,37618.27,47.1,2023-03-31,2022-12-18,Partner,Neukunde,5181
OPP00000140,,ACC000235,Opportunity 140,Angebot,40726.21,61.9,2023-11-23,2023-09-27,Messe,Bestandskunde - Zusatzprodukt,4312
OPP00000141,,ACC000508,Opportunity 141,Angebot,35898.36,54.8,2025-10-02,2025-04-06,Social Media,Bestandskunde - Upgrade,5693
OPP00000142,142,ACC000777,Opportunity 142,Closed Won,37744.35,100.0,2022-09-02,2022-07-13,Empfehlung,Neukunde,6622
OPP00000143,143,ACC000772,Opportunity 143,Closed Won,39932.95,100.0,2023-08-10,2023-05-15,Messe,Neukunde,4744
OPP00000144,,ACC000409,Opportunity 144,Verhandlung,27862.02,23.1,2024-03-31,2023-10-07,Telefonakquise,Bestandskunde - Zusatzprodukt,4499
OPP00000145,,ACC000850,Opportunity 145,Closed Lost,35644.95,0.0,2023-08-25,2023-03-12,Social Media,Bestandskunde - Zusatzprodukt,5342
OPP00000146,,ACC000944,Opportunity 146,Closed Lost,6919.71,0.0,2023-07-23,2023-03-05,Empfehlung,Neukunde,
OPP00000147,147,ACC000914,Opportunity 147,Closed Won,30027.78,100.0,2025-08-13,2025-06-29,Empfehlung,Neukunde,
OPP00000148,,ACC000155,Opportunity 148,Angebot,23399.16,76.1,2024-08-31,2024-05-13,Partner,Bestandskunde - Upgrade,
OPP00000149,149,ACC000369,Opportunity 149,Closed Won,22017.9,100.0,2025-10-30,2025-06-24,Webseite,Neukunde,
OPP00000150,,ACC000858,Opportunity 150,Qualifizierung,37971.9,34.2,2024-08-29,2024-04-25,Telefonakquise,Neukunde,3186
OPP00000151,,ACC000159,Opportunity 151,Verhandlung,5433.03,72.0,2025-12-06,2025-06-27,Partner,Bestandskunde - Upgrade,
OPP00000152,,ACC000536,Opportunity 152,Qualifizierung,23562.94,63.8,2022-07-05,2022-02-17,Telefonakquise,Bestandskunde - Zusatzprodukt,5488
OPP00000153,,ACC000218,Opportunity 153,Closed Lost,3343.49,0.0,2021-10-15,2021-09-06,Webseite,Bestandskunde - Zusatzprodukt,7093
OPP00000154,154,ACC000230,Opportunity 154,Closed Won,37752.16,100.0,2022-04-11,2022-02-27,Empfehlung,Bestandskunde - Upgrade,2239
OPP00000155,,ACC000558,Opportunity 155,Qualifizierung,1747.19,12.2,2022-01-01,2021-09-27,Social Media,Bestandskunde - Zusatzprodukt,787
OPP00000156,156,ACC000740,Opportunity 156,Closed Won,15508.29,100.0,2022-08-16,2022-06-05,Webseite,Bestandskunde - Upgrade,
OPP00000157,,ACC000664,Opportunity 157,Closed Lost,27461.01,0.0,2024-11-24,2024-06-05,Social Media,Bestandskunde - Zusatzprodukt,3746
OPP00000158,,ACC000010,Opportunity 158,Qualifizierung,47917.32,50.0,2024-12-17,2024-07-29,Telefonakquise,Neukunde,434
OPP00000159,,ACC000940,Opportunity 159,Qualifizierung,43139.58,53.5,2024-04-21,2024-03-21,Empfehlung,Neukunde,
OPP00000160,,ACC000056,Opportunity 160,Angebot,41451.07,56.1,2025-02-14,2024-10-29,Webseite,Neukunde,6833
OPP00000161,,ACC000080,Opportunity 161,Interessent,32801.43,38.4,2024-05-13,2024-01-17,Empfehlung,Bestandskunde - Upgrade,284
OPP00000162,,ACC000871,Opportunity 162,Closed Lost,22696.1,0.0,2022-09-07,2022-03-28,Telefonakquise,Bestandskunde - Zusatzprodukt,5513
OPP00000163,,ACC000178,Opportunity 163,Angebot,28822.83,72.7,2021-11-22,2021-06-10,Empfehlung,Neukunde,3649
OPP00000164,,ACC000916,Opportunity 164,Verhandlung,27100.3,34.6,2022-06-15,2022-04-18,Partner,Neukunde,4679
OPP00000165,,ACC000642,Opportunity 165,Verhandlung,13723.83,39.9,2021-10-31,2021-08-14,Webseite,Neukunde,
OPP00000166,,ACC000360,Opportunity 166,Verhandlung,21016.81,78.1,2022-02-27,2022-01-12,Messe,Neukunde,
OPP00000167,,ACC000774,Opportunity 167,Qualifizierung,14311.35,19.7,2025-05-05,2024-11-20,Empfehlung,Bestandskunde - Zusatzprodukt,2817
OPP00000168,,ACC000070,Opportunity 168,Verhandlung,39149.45,14.9,2023-06-15,2023-01-18,Empfehlung,Neukunde,7928
OPP00000169,,ACC000685,Opportunity 169,Qualifizierung,15375.06,29.8,2021-12-15,2021-08-28,Telefonakquise,Bestandskunde - Upgrade,2616
OPP00000170,,ACC000361,Opportunity 170,Interessent,28985.24,15.7,2023-06-12,2022-12-31,Telefonakquise,Neukunde,6263
OPP00000171,171,ACC000353,Opportunity 171,Closed Won,14690.0,100.0,2025-04-19,2025-02-08,Empfehlung,Neukunde,6797
OPP00000172,,ACC000792,Opportunity 172,Qualifizierung,38105.79,30.7,2024-01-25,2023-09-11,Messe,Neukunde,6514
OPP00000173,,ACC000040,Opportunity 173,Verhandlung,17148.93,51.8,2023-01-14,2022-07-22,Webseite,Bestandskunde - Upgrade,2754
OPP00000174,,ACC000064,Opportunity 174,Angebot,28047.87,47.8,2024-10-24,2024-09-12,Partner,Bestandskunde - Zusatzprodukt,989
OPP00000175,,ACC000822,Opportunity 175,Qualifizierung,40556.69,38.3,2021-08-09,2021-03-22,Messe,Bestandskunde - Zusatzprodukt,4114
OPP00000176,,ACC000555,Opportunity 176,Qualifizierung,1224.53,50.5,2024-07-06,2024-01-13,Telefonakquise,Neukunde,4494
OPP00000177,,ACC000809,Opportunity 177,Angebot,31901.46,22.9,2024-12-25,2024-11-05,Messe,Neukunde,2494
OPP00000178,178,ACC000760,Opportunity 178,Closed Won,11079.34,100.0,2022-06-17,2022-01-23,Partner,Bestandskunde - Upgrade,
OPP00000179,,ACC000037,Opportunity 179,Angebot,5104.94,48.9,2022-07-14,2022-01-21,Partner,Neukunde,179
OPP00000180,180,ACC000559,Opportunity 180,Closed Won,46069.15,100.0,2025-03-19,2025-02-13,Partner,Bestandskunde - Zusatzprodukt,979
OPP00000181,,ACC000392,Opportunity 181,Angebot,19976.35,76.6,2023-10-23,2023-09-19,Webseite,Bestandskunde - Zusatzprodukt,1624
OPP00000182,,ACC000270,Opportunity 182,Angebot,44751.95,12.2,2024-05-05,2023-12-26,Messe,Bestandskunde - Upgrade,4138
OPP00000183,183,ACC000867,Opportunity 183,Closed Won,48504.63,100.0,2023-08-20,2023-07-01,Empfehlung,Bestandskunde - Zusatzprodukt,6819
OPP00000184,,ACC000942,Opportunity 184,Qualifizierung,21048.11,77.5,2023-05-16,2023-03-15,Telefonakquise,Neukunde,46
OPP00000185,,ACC000098,Opportunity 185,Verhandlung,2062.13,49.0,2023-07-18,2023-01-19,Social Media,Bestandskunde - Upgrade,
OPP00000186,186,ACC000784,Opportunity 186,Closed Won,40935.46,100.0,2022-06-10,2022-01-07,Social Media,Bestandskunde - Upgrade,
OPP00000187,,ACC000939,Opportunity 187,Closed Lost,48157.33,0.0,2022-10-30,2022-09-04,Partner,Bestandskunde - Zusatzprodukt,5179
OPP00000188,,ACC000230,Opportunity 188,Qualifizierung,22288.02,24.3,2021-09-03,2021-06-09,Messe,Neukunde,
OPP00000189,,ACC000092,Opportunity 189,Interessent,29091.83,65.7,2021-04-20,2021-01-02,Social Media,Bestandskunde - Zusatzprodukt,6274
OPP00000190,,ACC000837,Opportunity 190,Interessent,32439.7,76.4,2022-11-27,2022-07-15,Partner,Neukunde,7753
OPP00000191,191,ACC000636,Opportunity 191,Closed Won,5831.05,100.0,2023-06-23,2023-05-19,Webseite,Neukunde,
OPP00000192,,ACC000984,Opportunity 192,Closed Lost,19455.8,0.0,2025-07-31,2025-05-07,Empfehlung,Bestandskunde - Zusatzprodukt,
OPP00000193,,ACC000174,Opportunity 193,Angebot,7525.23,48.8,2023-04-05,2023-01-25,Telefonakquise,Bestandskunde - Zusatzprodukt,895
